C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject14/agent.py
2021-05-13 16:31:28.179881: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-13 16:31:28.180150: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-13 16:31:33.089408: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-13 16:31:33.094625: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-13 16:31:33.094956: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-13 16:31:33.105758: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-13 16:31:33.106232: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-13 16:31:33.107582: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-13 16:31:33.108463: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 17700 : 73, epsilon: 0.0, 보상 합:74
에피소드 17800 : 73, epsilon: 0.0, 보상 합:74
에피소드 17900 : 96, epsilon: 0.0, 보상 합:97
에피소드 18000 : 134, epsilon: 0.0, 보상 합:135
에피소드 18100 : 77, epsilon: 0.0, 보상 합:78
에피소드 18200 : 84, epsilon: 0.0, 보상 합:85
에피소드 18300 : 320, epsilon: 0.0, 보상 합:321
에피소드 18400 : 65, epsilon: 0.0, 보상 합:66
에피소드 18500 : 70, epsilon: 0.0, 보상 합:71
에피소드 18600 : 99, epsilon: 0.0, 보상 합:100
에피소드 18700 : 70, epsilon: 0.0, 보상 합:71
에피소드 18800 : 72, epsilon: 0.0, 보상 합:73
에피소드 18900 : 74, epsilon: 0.0, 보상 합:75
에피소드 19000 : 164, epsilon: 0.0, 보상 합:165
에피소드 19100 : 74, epsilon: 0.0, 보상 합:75
에피소드 19200 : 74, epsilon: 0.0, 보상 합:75
에피소드 19300 : 79, epsilon: 0.0, 보상 합:80
에피소드 19400 : 64, epsilon: 0.0, 보상 합:65
에피소드 19500 : 84, epsilon: 0.0, 보상 합:85
에피소드 19600 : 92, epsilon: 0.0, 보상 합:93
에피소드 19700 : 59, epsilon: 0.0, 보상 합:60
에피소드 19800 : 59, epsilon: 0.0, 보상 합:60
에피소드 19900 : 73, epsilon: 0.0, 보상 합:74
에피소드 20000 : 73, epsilon: 0.0, 보상 합:74
에피소드 20100 : 209, epsilon: 0.0, 보상 합:210
에피소드 20200 : 102, epsilon: 0.0, 보상 합:103
에피소드 20300 : 128, epsilon: 0.0, 보상 합:129
에피소드 20400 : 259, epsilon: 0.0, 보상 합:260
에피소드 20500 : 71, epsilon: 0.0, 보상 합:72
에피소드 20600 : 73, epsilon: 0.0, 보상 합:74
에피소드 20700 : 65, epsilon: 0.0, 보상 합:66
에피소드 20800 : 72, epsilon: 0.0, 보상 합:73
에피소드 20900 : 107, epsilon: 0.0, 보상 합:108
에피소드 21000 : 146, epsilon: 0.0, 보상 합:147
에피소드 21100 : 126, epsilon: 0.0, 보상 합:127
에피소드 21200 : 70, epsilon: 0.0, 보상 합:71
에피소드 21300 : 121, epsilon: 0.0, 보상 합:122
에피소드 21400 : 88, epsilon: 0.0, 보상 합:89
에피소드 21500 : 74, epsilon: 0.0, 보상 합:75
에피소드 21600 : 87, epsilon: 0.0, 보상 합:88
에피소드 21700 : 73, epsilon: 0.0, 보상 합:74
에피소드 21800 : 142, epsilon: 0.0, 보상 합:143
에피소드 21900 : 73, epsilon: 0.0, 보상 합:74
에피소드 22000 : 73, epsilon: 0.0, 보상 합:74
에피소드 22100 : 98, epsilon: 0.0, 보상 합:99
에피소드 22200 : 131, epsilon: 0.0, 보상 합:132
에피소드 22300 : 128, epsilon: 0.0, 보상 합:129
에피소드 22400 : 92, epsilon: 0.0, 보상 합:93
에피소드 22500 : 72, epsilon: 0.0, 보상 합:73
에피소드 22600 : 251, epsilon: 0.0, 보상 합:252
에피소드 22700 : 71, epsilon: 0.0, 보상 합:72
에피소드 22800 : 71, epsilon: 0.0, 보상 합:72
에피소드 22900 : 73, epsilon: 0.0, 보상 합:74
에피소드 23000 : 70, epsilon: 0.0, 보상 합:71
에피소드 23100 : 64, epsilon: 0.0, 보상 합:65
에피소드 23200 : 100, epsilon: 0.0, 보상 합:101
에피소드 23300 : 103, epsilon: 0.0, 보상 합:104
에피소드 23400 : 74, epsilon: 0.0, 보상 합:75
에피소드 23500 : 99, epsilon: 0.0, 보상 합:100
에피소드 23600 : 73, epsilon: 0.0, 보상 합:74
에피소드 23700 : 72, epsilon: 0.0, 보상 합:73
에피소드 23800 : 73, epsilon: 0.0, 보상 합:74
에피소드 23900 : 73, epsilon: 0.0, 보상 합:74
에피소드 24000 : 230, epsilon: 0.0, 보상 합:231
