에피소드 0 : 51, epsilon: 1.0, 보상 합:52
에피소드 14300 : 46, epsilon: 0.4891833672740348, 보상 합:47
에피소드 14400 : 52, epsilon: 0.4867434942061931, 보상 합:53
에피소드 14500 : 48, epsilon: 0.484315790359518, 보상 합:49
에피소드 14600 : 89, epsilon: 0.48190019503825127, 보상 합:90
에피소드 14700 : 328, epsilon: 0.4794966478493652, 보상 합:329
에피소드 14800 : 133, epsilon: 0.47710508870105023, 보상 합:134
에피소드 14900 : 96, epsilon: 0.47472545780121317, 보상 합:97
에피소드 15000 : 55, epsilon: 0.47235769565598273, 보상 합:56
에피소드 15100 : 100, epsilon: 0.47000174306822196, 보상 합:101
에피소드 15200 : 115, epsilon: 0.46765754113604924, 보상 합:116
에피소드 15300 : 189, epsilon: 0.465325031251363, 보상 합:190
에피소드 15400 : 86, epsilon: 0.4630041550983792, 보상 합:87
에피소드 15500 : 89, epsilon: 0.4606948546521717, 보상 합:90
에피소드 15600 : 90, epsilon: 0.45839707217722225, 보상 합:91
에피소드 15700 : 124, epsilon: 0.45611075022597725, 보상 합:125
에피소드 15800 : 73, epsilon: 0.4538358316374106, 보상 합:74
에피소드 15900 : 100, epsilon: 0.4515722595355953, 보상 합:101
에피소드 16000 : 42, epsilon: 0.44931997732828144, 보상 합:43
에피소드 16100 : 200, epsilon: 0.44707892870548066, 보상 합:201
에피소드 16200 : 54, epsilon: 0.4448490576380597, 보상 합:55
에피소드 16300 : 44, epsilon: 0.442630308376338, 보상 합:45
에피소드 16400 : 130, epsilon: 0.44042262544869504, 보상 합:131
에피소드 16500 : 59, epsilon: 0.43822595366018263, 보상 합:60
에피소드 16600 : 54, epsilon: 0.43604023809114606, 보상 합:55
에피소드 16700 : 43, epsilon: 0.4338654240958497, 보상 합:44
에피소드 16800 : 159, epsilon: 0.43170145730111165, 보상 합:160
에피소드 16900 : 140, epsilon: 0.42954828360494435, 보상 합:141
에피소드 17000 : 136, epsilon: 0.42740584917520186, 보상 합:137
에피소드 17100 : 50, epsilon: 0.42527410044823377, 보상 합:51
에피소드 17200 : 140, epsilon: 0.4231529841275457, 보상 합:141
에피소드 17300 : 128, epsilon: 0.42104244718246764, 보상 합:129
에피소드 17400 : 50, epsilon: 0.4189424368468277, 보상 합:51
에피소드 17500 : 53, epsilon: 0.4168529006176333, 보상 합:54
에피소드 17600 : 55, epsilon: 0.41477378625375727, 보상 합:56
에피소드 17700 : 108, epsilon: 0.41270504177463385, 보상 합:109
에피소드 17800 : 43, epsilon: 0.41064661545895703, 보상 합:44
에피소드 17900 : 85, epsilon: 0.4085984558433882, 보상 합:86
에피소드 18000 : 405, epsilon: 0.4065605117212704, 보상 합:406
에피소드 18100 : 82, epsilon: 0.40453273214134666, 보상 합:83
에피소드 18200 : 169, epsilon: 0.4025150664064869, 보상 합:170
에피소드 18300 : 123, epsilon: 0.4005074640724207, 보상 합:124
에피소드 18400 : 48, epsilon: 0.39850987494647594, 보상 합:49
에피소드 18500 : 51, epsilon: 0.3965222490863226, 보상 합:52
에피소드 18600 : 107, epsilon: 0.3945445367987263, 보상 합:108
에피소드 18700 : 142, epsilon: 0.39257668863830464, 보상 합:143
에피소드 18800 : 273, epsilon: 0.3906186554062909, 보상 합:274
에피소드 18900 : 140, epsilon: 0.3886703881493051, 보상 합:141
에피소드 19000 : 54, epsilon: 0.3867318381581281, 보상 합:55
에피소드 19100 : 290, epsilon: 0.3848029569664867, 보상 합:291
에피소드 19200 : 106, epsilon: 0.3828836963498389, 보상 합:107
에피소드 19300 : 88, epsilon: 0.3809740083241701, 보상 합:89
에피소드 19400 : 57, epsilon: 0.37907384514479325, 보상 합:58
에피소드 19500 : 61, epsilon: 0.3771831593051544, 보상 합:62
에피소드 19600 : 59, epsilon: 0.3753019035356457, 보상 합:60
에피소드 19700 : 50, epsilon: 0.3734300308024232, 보상 합:51
에피소드 19800 : 127, epsilon: 0.3715674943062313, 보상 합:128
에피소드 19900 : 57, epsilon: 0.3697142474812321, 보상 합:58
에피소드 20000 : 266, epsilon: 0.36787024399384166, 보상 합:267
에피소드 20100 : 100, epsilon: 0.3660354377415719, 보상 합:101
에피소드 20200 : 53, epsilon: 0.36420978285187683, 보상 합:54
에피소드 20300 : 53, epsilon: 0.36239323368100745, 보상 합:54
에피소드 20400 : 158, epsilon: 0.3605857448128691, 보상 합:159
에피소드 20500 : 131, epsilon: 0.35878727105788627, 보상 합:132
에피소드 20600 : 130, epsilon: 0.35699776745187345, 보상 합:131
에피소드 20700 : 52, epsilon: 0.3552171892549099, 보상 합:53
에피소드 20800 : 61, epsilon: 0.3534454919502221, 보상 합:62
에피소드 20900 : 125, epsilon: 0.35168263124307086, 보상 합:126
에피소드 21000 : 57, epsilon: 0.3499285630596428, 보상 합:58
에피소드 21100 : 160, epsilon: 0.3481832435459493, 보상 합:161
에피소드 21200 : 58, epsilon: 0.34644662906672974, 보상 합:59
에피소드 21300 : 137, epsilon: 0.3447186762043608, 보상 합:138
에피소드 21400 : 46, epsilon: 0.34299934175777136, 보상 합:47
에피소드 21500 : 64, epsilon: 0.3412885827413604, 보상 합:65
에피소드 21600 : 84, epsilon: 0.3395863563839257, 보상 합:85
에피소드 21700 : 56, epsilon: 0.3378926201275918, 보상 합:57
에피소드 21800 : 79, epsilon: 0.3362073316267463, 보상 합:80
에피소드 21900 : 50, epsilon: 0.3345304487469827, 보상 합:51
에피소드 22000 : 155, epsilon: 0.3328619295640452, 보상 합:156
에피소드 22100 : 94, epsilon: 0.33120173236278144, 보상 합:95
에피소드 22200 : 158, epsilon: 0.32954981563610003, 보상 합:159
에피소드 22300 : 58, epsilon: 0.3279061380839315, 보상 합:59
에피소드 22400 : 56, epsilon: 0.32627065861219656, 보상 합:57
에피소드 22500 : 60, epsilon: 0.3246433363317789, 보상 합:61
에피소드 22600 : 48, epsilon: 0.3230241305575024, 보상 합:49
에피소드 22700 : 139, epsilon: 0.3214130008071144, 보상 합:140
에피소드 22800 : 148, epsilon: 0.31980990680027316, 보상 합:149
에피소드 22900 : 50, epsilon: 0.31821480845754124, 보상 합:51
에피소드 23000 : 211, epsilon: 0.3166276658993829, 보상 합:212
에피소드 23100 : 226, epsilon: 0.31504843944516747, 보상 합:227
에피소드 23200 : 149, epsilon: 0.31347708961217724, 보상 합:150
에피소드 23300 : 148, epsilon: 0.31191357711462, 보상 합:149
에피소드 23400 : 144, epsilon: 0.3103578628626476, 보상 합:145
