C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject14/agent.py
2021-05-14 15:36:31.184773: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-14 15:36:31.185048: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
스테이지를 무작위로 생성합니다.
2021-05-14 15:36:35.181675: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-14 15:36:35.185161: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-14 15:36:35.185413: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-14 15:36:35.193431: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-14 15:36:35.193875: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-14 15:36:35.194548: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-14 15:36:35.195464: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 9100 : 50, epsilon: 0.9130172954739034, 보상 합:51
에피소드 9200 : 45, epsilon: 0.912104729974396, 보상 합:46
에피소드 9300 : 117, epsilon: 0.9111930765888158, 보상 합:118
에피소드 9400 : 76, epsilon: 0.9102823344055, 보상 합:77
에피소드 9500 : 381, epsilon: 0.909372502513697, 보상 합:382
에피소드 9600 : 191, epsilon: 0.9084635800035663, 보상 합:192
에피소드 9700 : 50, epsilon: 0.907555565966176, 보상 합:51
에피소드 9800 : 60, epsilon: 0.9066484594935031, 보상 합:61
에피소드 9900 : 44, epsilon: 0.9057422596784318, 보상 합:45
에피소드 10000 : 124, epsilon: 0.9048369656147537, 보상 합:125
에피소드 10100 : 52, epsilon: 0.9039325763971644, 보상 합:53
에피소드 10200 : 52, epsilon: 0.9030290911212665, 보상 합:53
에피소드 10300 : 44, epsilon: 0.902126508883565, 보상 합:45
에피소드 10400 : 44, epsilon: 0.9012248287814689, 보상 합:45
에피소드 10500 : 88, epsilon: 0.900324049913289, 보상 합:89
에피소드 10600 : 162, epsilon: 0.8994241713782375, 보상 합:163
에피소드 10700 : 54, epsilon: 0.8985251922764269, 보상 합:55
에피소드 10800 : 70, epsilon: 0.8976271117088688, 보상 합:71
에피소드 10900 : 207, epsilon: 0.8967299287774732, 보상 합:208
에피소드 11000 : 50, epsilon: 0.8958336425850486, 보상 합:51
에피소드 11100 : 129, epsilon: 0.8949382522352994, 보상 합:130
에피소드 11200 : 142, epsilon: 0.8940437568328268, 보상 합:143
에피소드 11300 : 53, epsilon: 0.8931501554831258, 보상 합:54
에피소드 11400 : 44, epsilon: 0.8922574472925864, 보상 합:45
에피소드 11500 : 119, epsilon: 0.891365631368491, 보상 합:120
에피소드 11600 : 53, epsilon: 0.8904747068190155, 보상 합:54
에피소드 11700 : 83, epsilon: 0.8895846727532252, 보상 합:84
에피소드 11800 : 114, epsilon: 0.8886955282810781, 보상 합:115
에피소드 11900 : 162, epsilon: 0.8878072725134205, 보상 합:163
에피소드 12000 : 41, epsilon: 0.886919904561988, 보상 합:42
에피소드 12100 : 51, epsilon: 0.8860334235394025, 보상 합:52
에피소드 12200 : 109, epsilon: 0.8851478285591758, 보상 합:110
에피소드 12300 : 77, epsilon: 0.8842631187357024, 보상 합:78
에피소드 12400 : 44, epsilon: 0.883379293184264, 보상 합:45
에피소드 12500 : 76, epsilon: 0.8824963510210262, 보상 합:77
에피소드 12600 : 45, epsilon: 0.8816142913630383, 보상 합:46
에피소드 12700 : 40, epsilon: 0.8807331133282309, 보상 합:41
에피소드 12800 : 227, epsilon: 0.8798528160354181, 보상 합:228
에피소드 12900 : 43, epsilon: 0.8789733986042928, 보상 합:44
에피소드 13000 : 40, epsilon: 0.878094860155429, 보상 합:41
에피소드 13100 : 57, epsilon: 0.8772171998102793, 보상 합:58
에피소드 13200 : 78, epsilon: 0.8763404166911752, 보상 합:79
에피소드 13300 : 49, epsilon: 0.8754645099213243, 보상 합:50
에피소드 13400 : 43, epsilon: 0.8745894786248111, 보상 합:44
에피소드 13500 : 42, epsilon: 0.8737153219265954, 보상 합:43
에피소드 13600 : 83, epsilon: 0.8728420389525116, 보상 합:84
에피소드 13700 : 213, epsilon: 0.8719696288292675, 보상 합:214
